# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] LeveragingBaggingClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=2.0)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/lambda_2.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.850000,0.815000,0.891147,0.863469,0.650015,0.576756,37.958239,1.509172,39.467411,2290.303711
3000,0.887500,0.915000,0.920803,0.944625,0.727064,0.763692,50.273817,2.981759,53.255576,2365.416992
4000,0.894667,0.920000,0.926512,0.948052,0.741446,0.776161,62.123437,4.562370,66.685806,2777.721680
5000,0.900750,0.900000,0.930607,0.924242,0.757268,0.778761,72.996641,5.956632,78.953273,3535.885742
6000,0.906600,0.890000,0.934493,0.921429,0.772734,0.741814,83.618480,7.184638,90.803118,3835.674805
7000,0.909000,0.930000,0.935976,0.951389,0.779671,0.827437,94.726308,8.259263,102.985570,4196.549805
8000,0.910714,0.920000,0.937368,0.949367,0.782967,0.761194,105.717889,9.188107,114.905996,4638.416992
9000,0.912625,0.925000,0.938968,0.950820,0.786303,0.794521,117.196079,10.304698,127.500777,5226.733398
10000,0.914556,0.940000,0.940318,0.956204,0.791039,0.861544,128.215981,11.533560,139.749542,5768.967773
11000,0.916400,0.910000,0.941522,0.932331,0.795996,0.799822,138.638025,12.637529,151.275553,6073.206055
12000,0.917000,0.915000,0.941932,0.941176,0.797547,0.789916,149.330067,13.629177,162.959244,6353.245117
13000,0.918250,0.930000,0.942735,0.949640,0.800973,0.835835,160.146184,14.678372,174.824556,6657.151367
14000,0.918308,0.910000,0.942595,0.929134,0.802069,0.807528,171.113668,15.853639,186.967307,7212.823242
15000,0.920500,0.960000,0.944225,0.971014,0.806885,0.906673,181.750825,17.024377,198.775202,7458.010742
16000,0.920667,0.925000,0.944372,0.947735,0.807155,0.816267,192.961456,18.108390,211.069846,7855.338867
17000,0.920813,0.925000,0.944486,0.950166,0.807458,0.799786,203.186240,19.261178,222.447418,8101.198242
18000,0.920765,0.930000,0.944410,0.953333,0.807572,0.814545,213.484882,20.329509,233.814391,8570.370117
19000,0.921333,0.945000,0.944834,0.961938,0.808805,0.863354,223.554713,21.422598,244.977311,8748.846680
20000,0.921789,0.945000,0.945089,0.962199,0.810228,0.861635,233.529007,22.544633,256.073640,9170.909180
21000,0.922500,0.930000,0.945583,0.953020,0.811945,0.816152,243.842028,23.628895,267.470922,9564.885742
22000,0.923381,0.925000,0.946146,0.946996,0.814323,0.819451,254.054088,24.752170,278.806257,9902.338867
23000,0.924045,0.925000,0.946649,0.949833,0.815724,0.802424,264.116252,25.769642,289.885895,10280.495117
24000,0.924652,0.960000,0.947034,0.972028,0.817383,0.901961,274.427684,26.894170,301.321854,10562.682617
25000,0.925167,0.910000,0.947362,0.934783,0.818781,0.791183,284.651643,27.989769,312.641412,10778.456055
26000,0.925800,0.925000,0.947760,0.944238,0.820529,0.830125,295.114895,29.142620,324.257515,10997.690430
27000,0.926346,0.940000,0.948155,0.957447,0.821777,0.855908,306.391407,30.260128,336.651534,11172.190430
28000,0.926519,0.950000,0.948252,0.964789,0.822295,0.878817,317.249991,31.417724,348.667715,11612.573242
29000,0.926929,0.895000,0.948510,0.924188,0.823431,0.755073,327.390246,32.565741,359.955987,12085.956055
30000,0.926724,0.935000,0.948338,0.952030,0.823063,0.851293,337.346477,33.696053,371.042530,12378.416992
31000,0.927167,0.935000,0.948725,0.955326,0.823748,0.836313,347.426731,34.725170,382.151901,12505.096680
32000,0.927323,0.945000,0.948834,0.962199,0.824127,0.861635,357.615130,35.854880,393.470010,12864.237305
33000,0.927156,0.925000,0.948639,0.943820,0.824098,0.831271,367.557310,37.004605,404.561914,13316.151367
34000,0.927455,0.915000,0.948848,0.943522,0.824817,0.772727,377.530946,38.231727,415.762673,13519.456055
35000,0.927559,0.940000,0.948874,0.955882,0.825295,0.862196,387.510275,39.320841,426.831116,13598.026367
36000,0.928029,0.930000,0.949178,0.952703,0.826553,0.819238,397.597728,40.469289,438.067017,13819.487305
37000,0.928556,0.975000,0.949529,0.982206,0.827912,0.940234,407.358646,41.608277,448.966923,13972.120117
38000,0.928865,0.935000,0.949756,0.956229,0.828602,0.830464,417.339297,42.700500,460.039798,14188.799805
39000,0.929211,0.925000,0.949987,0.946237,0.829491,0.822527,427.444207,43.806667,471.250874,14490.807617
40000,0.929795,0.955000,0.950382,0.966790,0.830964,0.897049,437.458257,44.991044,482.449301,14585.971680
41000,0.930250,0.935000,0.950679,0.950192,0.832158,0.856702,447.286013,46.179584,493.465597,15061.760742
42000,0.930341,0.955000,0.950708,0.970297,0.832536,0.877518,457.152567,47.279391,504.431958,15229.784180
43000,0.930405,0.915000,0.950732,0.936330,0.832774,0.808946,467.080665,48.396912,515.477577,15572.604492
44000,0.930674,0.955000,0.950923,0.965779,0.833412,0.900111,477.258143,49.518040,526.776183,15830.143555
45000,0.931045,0.940000,0.951194,0.958904,0.834255,0.847870,487.014142,50.603705,537.617847,16098.612305
46000,0.931178,0.940000,0.951283,0.957143,0.834584,0.857211,496.977177,51.721819,548.698997,16245.557617
47000,0.931196,0.925000,0.951302,0.948805,0.834591,0.809112,506.927186,52.870619,559.797805,16348.065430
48000,0.931383,0.950000,0.951415,0.965753,0.835130,0.873305,517.562657,54.037747,571.600405,16644.612305
49000,0.931646,0.955000,0.951593,0.968421,0.835799,0.890244,528.168267,55.183544,583.351811,16890.565430
50000,0.931449,0.955000,0.951401,0.965779,0.835571,0.900222,538.403162,56.298699,594.701861,17099.444336
51000,0.931520,0.945000,0.951455,0.961672,0.835724,0.864532,548.297893,57.386430,605.684323,17387.616211
52000,0.931824,0.945000,0.951689,0.964401,0.836353,0.843528,558.085556,58.463633,616.549189,17504.151367
53000,0.932058,0.945000,0.951830,0.958175,0.837023,0.878049,567.775141,59.583554,627.358695,17956.530273
54000,0.932189,0.925000,0.951924,0.947368,0.837326,0.817607,577.665900,60.829198,638.495098,18138.420898
55000,0.932426,0.925000,0.952088,0.946237,0.837905,0.822695,587.397664,61.979486,649.377150,18279.178711
56000,0.932509,0.935000,0.952143,0.953069,0.838118,0.847597,597.207910,63.100239,660.308149,18554.038086
57000,0.932696,0.915000,0.952249,0.936330,0.838686,0.809417,606.841270,64.260218,671.101488,18886.198242
58000,0.932789,0.935000,0.952312,0.955017,0.838914,0.838026,616.546235,65.426344,681.972578,19167.331055
59000,0.933034,0.950000,0.952480,0.962406,0.839522,0.887779,626.277131,66.554845,692.831976,19362.885742
60000,0.933136,0.930000,0.952557,0.949640,0.839734,0.835061,636.064448,67.645120,703.709569,19609.331055
61000,0.933217,0.925000,0.952619,0.944649,0.839907,0.828493,645.830659,68.753421,714.584079,19863.768555
62000,0.933131,0.920000,0.952554,0.944828,0.839717,0.799599,655.727535,69.823308,725.550843,20104.768555
63000,0.933355,0.945000,0.952711,0.959410,0.840254,0.874142,665.740668,70.916865,736.657533,20545.526367
64000,0.933413,0.955000,0.952761,0.968198,0.840351,0.891357,676.072497,72.118295,748.190792,20884.221680
65000,0.933469,0.925000,0.952761,0.947368,0.840661,0.816984,686.660125,73.335885,759.996010,21269.510742
66000,0.933569,0.935000,0.952837,0.953737,0.840879,0.845054,697.057479,74.580272,771.637751,21471.764648
67000,0.933576,0.935000,0.952848,0.954704,0.840856,0.839704,707.376849,75.727799,783.104648,21899.842773
68000,0.933731,0.935000,0.952937,0.951311,0.841322,0.853571,717.719812,76.916245,794.636057,22089.362305
69000,0.933824,0.940000,0.952972,0.957447,0.841681,0.855908,727.923366,78.132716,806.056082,22370.557617
