# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] OzaBaggingClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_bag_m_mc.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
51000,0.575220,0.670000,0.305152,0.235294,0.480948,0.565418,727.728090,398.007264,1125.735354,6049.628906
52000,0.576314,0.560000,0.304760,0.226051,0.481778,0.434266,739.503865,399.943123,1139.446989,6085.378906
53000,0.577827,0.690000,0.304648,0.254593,0.483013,0.579119,751.202794,401.815351,1153.018145,6086.316406
54000,0.579453,0.655000,0.304344,0.241480,0.484354,0.552892,762.238546,403.719430,1165.957976,6109.597656
55000,0.581037,0.640000,0.304374,0.236528,0.485736,0.526705,773.324270,405.421944,1178.746214,6106.996094
56000,0.582091,0.605000,0.304001,0.230766,0.486550,0.490454,785.128085,407.046263,1192.174348,6162.121094
57000,0.583214,0.670000,0.303631,0.248892,0.487426,0.565604,796.392224,408.581254,1204.973478,6162.183594
58000,0.584281,0.630000,0.303377,0.227249,0.488269,0.517947,807.853067,410.101525,1217.954591,6222.808594
59000,0.584810,0.595000,0.302973,0.228011,0.488576,0.467280,819.526102,411.434583,1230.960685,6227.902344
60000,0.585746,0.605000,0.302536,0.224908,0.489307,0.492337,831.136592,412.943140,1244.079731,6202.542969
61000,0.586683,0.635000,0.302164,0.232877,0.490023,0.532471,842.261470,414.260344,1256.521814,6227.636719
62000,0.587475,0.680000,0.301846,0.231360,0.490579,0.564951,853.807364,415.563431,1269.370795,6361.207031
63000,0.588597,0.660000,0.301482,0.246961,0.491564,0.559314,865.020214,416.967535,1281.987749,6365.644531
64000,0.589159,0.660000,0.301024,0.237720,0.491925,0.548772,877.021244,418.223609,1295.244854,6375.957031
65000,0.589969,0.625000,0.300578,0.231420,0.492555,0.527351,888.678133,419.550616,1308.228748,6381.425781
66000,0.590877,0.620000,0.300251,0.223777,0.493288,0.503398,900.522139,420.787457,1321.309596,6390.019531
67000,0.591545,0.670000,0.299774,0.235261,0.493806,0.566232,912.027261,422.115051,1334.142312,6285.621094
68000,0.592433,0.665000,0.299438,0.238664,0.494537,0.557785,923.119780,423.078440,1346.198220,6465.894531
69000,0.593191,0.585000,0.299234,0.230861,0.495153,0.480227,934.165180,424.147738,1358.312917,6517.613281
70000,0.594159,0.640000,0.299123,0.242577,0.496003,0.530363,945.352351,425.220140,1370.572492,6538.207031
71000,0.594714,0.655000,0.298711,0.235972,0.496418,0.548533,956.597336,426.214389,1382.811725,6541.800781
72000,0.595254,0.600000,0.298268,0.222338,0.496818,0.487245,967.827284,427.275997,1395.103281,6577.925781
73000,0.595875,0.610000,0.298081,0.230955,0.497312,0.502376,979.517273,428.331268,1407.848541,6479.597656
74000,0.596726,0.635000,0.297845,0.232117,0.498061,0.524569,990.887401,429.192288,1420.079689,6644.933594
75000,0.597243,0.640000,0.297401,0.230347,0.498442,0.533271,1001.951970,430.242678,1432.194649,6684.433594
76000,0.597867,0.665000,0.297074,0.235986,0.498948,0.562192,1013.177975,431.295517,1444.473491,6684.691406
77000,0.598553,0.685000,0.296745,0.244823,0.499520,0.582546,1024.300723,432.348187,1456.648909,6688.660156
78000,0.599286,0.645000,0.296493,0.236667,0.500187,0.545192,1035.211160,433.449013,1468.660173,6699.941406
79000,0.599949,0.615000,0.296101,0.224092,0.500754,0.509523,1046.078583,434.573257,1480.651840,6708.628906
80000,0.600329,0.635000,0.295716,0.229136,0.501009,0.525697,1057.486031,435.657670,1493.143701,6756.660156
81000,0.601025,0.660000,0.295458,0.235681,0.501642,0.561601,1068.631104,436.709065,1505.340169,6761.941406
82000,0.601556,0.660000,0.295190,0.246342,0.502078,0.562321,1080.342710,437.752201,1518.094910,6770.378906
83000,0.602024,0.635000,0.294870,0.248957,0.502452,0.530229,1091.757372,438.747839,1530.505212,6842.082031
84000,0.602458,0.660000,0.294455,0.237379,0.502773,0.561700,1103.124801,439.789076,1542.913876,7079.652344
85000,0.603131,0.685000,0.294739,0.276358,0.503455,0.589336,1114.590320,441.211951,1555.802271,7166.574219
86000,0.603647,0.685000,0.294808,0.272585,0.503959,0.585444,1126.147899,442.626526,1568.774425,7197.167969
87000,0.604535,0.690000,0.295064,0.285946,0.504886,0.600258,1137.393619,444.071174,1581.464793,7217.980469
88000,0.605230,0.650000,0.294844,0.235925,0.505527,0.541840,1148.552394,445.131427,1593.683820,7221.886719
89000,0.605773,0.645000,0.294628,0.245587,0.506013,0.537173,1160.038672,446.216441,1606.255114,7255.230469
90000,0.606169,0.605000,0.294369,0.239954,0.506317,0.491127,1171.848373,447.266663,1619.115036,7263.542969
91000,0.606722,0.695000,0.294114,0.259993,0.506804,0.593834,1183.537466,448.308171,1631.845637,7264.042969
92000,0.607560,0.710000,0.294019,0.259257,0.507608,0.605550,1195.020446,449.360734,1644.381180,7264.199219
93000,0.607848,0.650000,0.293722,0.238013,0.507812,0.535978,1206.960717,450.359489,1657.320206,7349.660156
94000,0.608903,0.700000,0.294299,0.300297,0.508997,0.615311,1218.079390,451.758077,1669.837467,7418.472656
95000,0.609660,0.670000,0.294513,0.278781,0.509800,0.574015,1229.205582,453.156214,1682.361796,7442.691406
96000,0.610274,0.630000,0.294717,0.265895,0.510386,0.515913,1240.713142,454.610723,1695.323865,7468.847656
97000,0.611135,0.695000,0.294951,0.286074,0.511322,0.609175,1252.087453,456.045363,1708.132816,7389.144531
98000,0.611443,0.610000,0.295003,0.260250,0.511617,0.495701,1263.583140,457.502897,1721.086037,7481.058594
99000,0.611929,0.620000,0.294968,0.250828,0.512077,0.514610,1275.245133,458.912322,1734.157455,7544.933594
100000,0.612616,0.695000,0.295062,0.283550,0.512785,0.597811,1286.435089,460.336263,1746.771352,7613.894531
101000,0.613210,0.765000,0.295958,0.380634,0.513542,0.699373,1297.370421,462.139923,1759.510345,7756.792969
102000,0.613941,0.680000,0.296823,0.298815,0.514348,0.584672,1308.677351,463.932671,1772.610022,7842.691406
103000,0.614804,0.700000,0.297931,0.331075,0.515356,0.615200,1320.125055,465.750416,1785.875471,7873.082031
104000,0.615272,0.660000,0.298498,0.321551,0.515908,0.574108,1331.077656,467.911171,1798.988827,8200.535156
105000,0.616087,0.730000,0.299849,0.385761,0.516916,0.659295,1341.776816,470.467050,1812.243866,8359.339844
106000,0.616486,0.670000,0.300679,0.346192,0.517444,0.596157,1352.718134,472.908186,1825.626320,8463.371094
107000,0.616792,0.585000,0.302000,0.326245,0.517901,0.484712,1364.014157,475.062295,1839.076452,8507.996094
108000,0.617570,0.710000,0.302874,0.392696,0.518785,0.629298,1374.983764,476.893771,1851.877535,8547.808594
109000,0.618194,0.655000,0.303314,0.287444,0.519494,0.552384,1385.901879,478.683619,1864.585498,8656.238281
110000,0.618752,0.635000,0.304222,0.326378,0.520217,0.549563,1397.281064,480.848626,1878.129690,8720.582031
111000,0.619300,0.630000,0.304891,0.319488,0.520926,0.539572,1408.246031,483.057264,1891.303296,8781.363281
112000,0.619604,0.705000,0.305547,0.331656,0.521352,0.624204,1419.517841,485.141568,1904.659410,8821.855469
113000,0.620161,0.730000,0.306216,0.335646,0.522082,0.661771,1430.564283,486.660534,1917.224817,8831.449219
114000,0.620655,0.670000,0.306450,0.300965,0.522657,0.578947,1441.801733,488.296802,1930.098536,8864.199219
