# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] LeveragingBaggingClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=10.0)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/lambda_10.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.931000,0.940000,0.951511,0.957746,0.832500,0.854739,115.273054,1.098538,116.371592,8231.038086
3000,0.930000,0.930000,0.951151,0.953642,0.828162,0.811422,150.197376,2.426912,152.624289,9565.545898
4000,0.930000,0.930000,0.951185,0.954248,0.828069,0.806630,185.318397,3.613220,188.931618,11452.573242
5000,0.927500,0.905000,0.949141,0.926641,0.823462,0.792576,219.783644,4.883316,224.666961,12422.643555
6000,0.927200,0.920000,0.948427,0.940299,0.825088,0.819596,254.513171,6.235637,260.748808,14291.674805
7000,0.929667,0.950000,0.949690,0.963504,0.833119,0.884139,289.057368,7.617850,296.675217,14780.471680
8000,0.930571,0.955000,0.950215,0.969900,0.835731,0.880795,324.237827,8.923883,333.161711,15567.401367
9000,0.932125,0.950000,0.951409,0.966216,0.839030,0.870214,358.609936,10.257271,368.867207,17770.600586
10000,0.932222,0.920000,0.951387,0.938462,0.839638,0.824195,392.946186,11.662752,404.608939,19535.487305
11000,0.932900,0.950000,0.951765,0.960630,0.841691,0.892241,427.451908,13.025417,440.477325,20855.346680
12000,0.933909,0.950000,0.952406,0.964029,0.844415,0.882187,461.863396,14.445751,476.309147,21889.116211
13000,0.934583,0.940000,0.952765,0.954887,0.846507,0.865350,496.302768,15.926064,512.228832,23265.995117
14000,0.934308,0.940000,0.952381,0.950820,0.846601,0.874108,530.034538,17.422839,547.457377,24765.448242
15000,0.934857,0.945000,0.952839,0.958801,0.847632,0.876098,563.507932,18.973879,582.481810,25835.713867
16000,0.935000,0.940000,0.952910,0.955224,0.848087,0.864376,597.294268,20.496392,617.790661,27087.823242
17000,0.934688,0.935000,0.952674,0.955326,0.847392,0.836107,630.600921,22.002932,652.603853,27547.124023
18000,0.934235,0.930000,0.952243,0.950355,0.846732,0.831791,664.736973,23.543795,688.280769,28770.999023
19000,0.933944,0.910000,0.952074,0.935714,0.845889,0.785740,698.375899,25.073525,723.449423,30071.350586
20000,0.933579,0.945000,0.951740,0.961131,0.845298,0.867118,732.194402,26.605748,758.800150,31233.245117
21000,0.934000,0.935000,0.952059,0.955326,0.846224,0.836066,765.593382,28.129869,793.723250,32687.475586
22000,0.934857,0.955000,0.952645,0.966790,0.848358,0.897025,798.736802,29.670787,828.407589,33771.151367
23000,0.935455,0.950000,0.953154,0.965986,0.849460,0.871910,831.824736,31.159072,862.983809,34384.659180
24000,0.936217,0.970000,0.953680,0.978417,0.851343,0.929245,864.743661,32.599726,897.343386,35188.202148
25000,0.936625,0.930000,0.953947,0.945313,0.852404,0.848156,898.078548,34.081493,932.160041,36447.108398
