# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=False, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_ht_m_mc.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
53000,0.564769,0.690000,0.272993,0.254593,0.458457,0.579119,64.896525,35.168876,100.065401,654.671875
54000,0.566679,0.665000,0.272988,0.243603,0.460309,0.564864,65.804853,35.253492,101.058345,658.984375
55000,0.568481,0.640000,0.273185,0.236528,0.462097,0.526705,66.727214,35.341585,102.068799,659.671875
56000,0.569764,0.605000,0.273114,0.230766,0.463338,0.490454,67.707096,35.424788,103.131884,663.421875
57000,0.571125,0.670000,0.273027,0.248892,0.464645,0.565604,68.681024,35.505286,104.186310,663.421875
58000,0.572456,0.630000,0.273018,0.226910,0.465932,0.517365,69.610468,35.594090,105.204558,667.890625
59000,0.573190,0.595000,0.272902,0.228011,0.466604,0.467280,70.588428,35.678084,106.266512,667.921875
60000,0.574339,0.605000,0.272698,0.224590,0.467706,0.491831,71.552951,35.778123,107.331074,668.046875
61000,0.575467,0.635000,0.272580,0.232877,0.468794,0.532471,72.505784,35.860958,108.366741,668.046875
62000,0.576426,0.680000,0.272458,0.231360,0.469664,0.564951,73.450239,35.945674,109.395912,676.609375
63000,0.577726,0.660000,0.272346,0.246961,0.470995,0.559186,74.408253,36.036487,110.444740,676.609375
64000,0.578492,0.660000,0.272156,0.237720,0.471716,0.548772,75.369505,36.122528,111.492033,676.984375
65000,0.579469,0.625000,0.271953,0.231420,0.472664,0.527351,76.328875,36.208558,112.537433,676.984375
66000,0.580538,0.620000,0.271833,0.223777,0.473697,0.503398,77.343177,36.290759,113.633936,676.984375
67000,0.581379,0.670000,0.271620,0.234879,0.474542,0.565789,78.302981,36.380904,114.683885,676.984375
68000,0.582463,0.665000,0.271597,0.238664,0.475607,0.557785,79.253467,36.467328,115.720795,677.078125
69000,0.583412,0.590000,0.271809,0.232073,0.476554,0.486055,80.238488,36.557021,116.795509,677.078125
70000,0.584507,0.640000,0.271916,0.242577,0.477657,0.530363,81.173746,36.650084,117.823830,677.078125
71000,0.585200,0.655000,0.271733,0.235972,0.478338,0.548533,82.181604,36.734800,118.916404,677.078125
72000,0.585859,0.600000,0.271511,0.222338,0.478987,0.487245,83.159565,36.822254,119.981819,677.109375
73000,0.586625,0.610000,0.271541,0.230955,0.479749,0.502376,84.129428,36.912242,121.041670,677.140625
74000,0.587603,0.635000,0.271493,0.232117,0.480731,0.524306,85.077510,36.997236,122.074746,677.140625
75000,0.588257,0.640000,0.271268,0.230347,0.481375,0.533271,86.039865,37.080676,123.120541,677.203125
76000,0.589013,0.670000,0.271140,0.237005,0.482118,0.568190,87.004425,37.166481,124.170905,677.234375
77000,0.589829,0.690000,0.270981,0.245739,0.482923,0.588723,88.017255,37.251245,125.268500,677.234375
78000,0.590714,0.645000,0.270981,0.236667,0.483856,0.545032,88.974704,37.341388,126.316092,677.234375
79000,0.591487,0.615000,0.270782,0.224092,0.484636,0.509445,89.944526,37.431373,127.375899,677.234375
80000,0.591975,0.635000,0.270583,0.229136,0.485097,0.525697,90.904901,37.521346,128.426247,681.234375
81000,0.592775,0.660000,0.270491,0.235681,0.485929,0.561601,91.893665,37.603681,129.497345,681.390625
82000,0.593383,0.655000,0.270372,0.235440,0.486524,0.555699,92.851740,37.697404,130.549144,681.390625
83000,0.593963,0.635000,0.270234,0.248957,0.487107,0.530229,93.826396,37.784729,131.611125,681.390625
84000,0.594518,0.660000,0.270116,0.237379,0.487644,0.561488,94.882599,37.873595,132.756195,691.312500
85000,0.593190,0.520000,0.269026,0.176764,0.486049,0.386189,95.901196,37.953279,133.854476,737.539062
86000,0.593588,0.670000,0.268850,0.239903,0.486423,0.562537,96.867415,38.036017,134.903432,737.539062
87000,0.594244,0.660000,0.268787,0.250591,0.487085,0.558025,97.851798,38.120220,135.972018,737.539062
88000,0.594943,0.630000,0.268682,0.231302,0.487790,0.517302,98.821609,38.202051,137.023660,737.539062
89000,0.595557,0.645000,0.268624,0.245752,0.488416,0.537052,99.904764,38.295881,138.200645,737.539062
90000,0.595899,0.605000,0.268474,0.234278,0.488706,0.490224,100.888022,38.379663,139.267685,737.539062
91000,0.596467,0.690000,0.268363,0.258981,0.489266,0.587999,101.886600,38.463282,140.349883,737.539062
92000,0.597286,0.705000,0.268373,0.257969,0.490094,0.598558,102.883491,38.547554,141.431045,737.539062
93000,0.597609,0.635000,0.268236,0.233933,0.490398,0.516908,103.873063,38.630485,142.503548,737.539062
94000,0.598215,0.650000,0.268168,0.234720,0.491040,0.549665,104.920665,38.714195,143.634860,741.101562
