# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] LeveragingBaggingClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), delta=0.002, enable_code_matrix=False, leverage_algorithm='leveraging_bag', n_estimators=10, random_state=None, w=7.0)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/lambda_7.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
2000,0.927000,0.935000,0.949270,0.954704,0.820206,0.840491,86.549112,1.062794,87.611907,5980.983398
3000,0.928500,0.930000,0.950604,0.954248,0.822034,0.806630,111.808716,2.133419,113.942135,7268.081055
4000,0.928667,0.930000,0.950691,0.954248,0.822683,0.806630,137.380945,3.204468,140.585412,8298.768555
5000,0.926750,0.910000,0.948964,0.930769,0.820027,0.802977,162.651239,4.355231,167.006470,9241.956055
6000,0.927600,0.915000,0.949214,0.938182,0.823864,0.803831,187.882962,5.471381,193.354343,10664.096680
7000,0.930000,0.955000,0.950635,0.967972,0.831010,0.892499,212.656771,6.602994,219.259766,11721.737305
8000,0.931714,0.960000,0.951785,0.973684,0.835363,0.890411,238.185008,7.847519,246.032527,12811.901367
9000,0.933125,0.940000,0.952909,0.959732,0.838117,0.842416,263.470626,9.085183,272.555809,13335.823242
10000,0.933444,0.950000,0.953112,0.962687,0.839001,0.887044,288.725864,10.210799,298.936663,14225.776367
11000,0.933700,0.945000,0.953122,0.957198,0.840388,0.880539,313.190632,11.404825,324.595457,14877.604492
