# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] OzaBaggingADWINClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_bagwin_m.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
51000,0.921460,0.930000,0.944717,0.950355,0.809904,0.832215,246.908171,50.980087,297.888258,11054.341797
52000,0.921529,0.910000,0.944751,0.935714,0.810148,0.786957,251.684451,51.938441,303.622891,11212.982422
53000,0.921615,0.935000,0.944840,0.957096,0.810213,0.823370,257.098877,52.854191,309.953068,11360.591797
54000,0.921830,0.955000,0.944959,0.967742,0.810892,0.893617,262.496740,53.812539,316.309280,11504.787109
55000,0.922056,0.910000,0.945165,0.936620,0.811202,0.783576,268.028108,54.748681,322.776790,11717.201172
56000,0.922309,0.945000,0.945341,0.960573,0.811827,0.870130,272.635944,55.666859,328.302803,11758.943359
57000,0.922696,0.935000,0.945616,0.955326,0.812749,0.836929,278.218670,56.616641,334.835311,12006.529297
58000,0.923035,0.960000,0.945838,0.971014,0.813651,0.906673,282.909230,57.565567,340.474797,12206.130859
59000,0.923190,0.915000,0.945961,0.938628,0.813952,0.801402,288.594255,58.504207,347.098461,12308.388672
60000,0.923390,0.935000,0.946098,0.956229,0.814460,0.830949,294.313204,59.430072,353.743276,12620.693359
61000,0.923600,0.940000,0.946234,0.957746,0.815030,0.854932,298.452695,60.402379,358.855074,12698.935547
62000,0.923705,0.945000,0.946316,0.962457,0.815249,0.860193,303.159511,61.409116,364.568626,12909.341797
63000,0.923855,0.935000,0.946403,0.951673,0.815706,0.853141,307.689153,62.413158,370.102311,12978.708984
64000,0.923984,0.935000,0.946483,0.951311,0.816077,0.854260,310.946452,63.358569,374.305022,11875.400391
65000,0.924141,0.925000,0.946611,0.949153,0.816367,0.807692,314.474702,64.230875,378.705577,11940.783203
66000,0.924415,0.955000,0.946789,0.966292,0.817108,0.898854,317.564245,65.098228,382.662474,12105.626953
67000,0.924500,0.910000,0.946857,0.935252,0.817277,0.789720,321.685633,66.212725,387.898359,12298.814453
68000,0.924552,0.915000,0.946890,0.933852,0.817422,0.815578,325.313882,67.327017,392.640899,12365.650391
69000,0.925074,0.980000,0.947253,0.986842,0.818693,0.945205,329.903657,68.448525,398.352183,12439.517578
70000,0.925333,0.940000,0.947446,0.960784,0.819270,0.833956,334.570575,69.578633,404.149208,12757.107422
71000,0.925371,0.910000,0.947455,0.941176,0.819452,0.752475,337.859736,70.685516,408.545252,12830.349609
72000,0.925437,0.920000,0.947506,0.943262,0.819584,0.808498,342.382268,71.812316,414.194584,12891.974609
73000,0.925472,0.925000,0.947516,0.948097,0.819748,0.813433,348.338144,72.770748,421.108892,12994.302734
74000,0.925452,0.905000,0.947483,0.931900,0.819792,0.776786,352.496312,73.725530,426.221841,13259.193359
75000,0.925459,0.925000,0.947482,0.942085,0.819837,0.836066,357.497114,74.780230,432.277344,13402.255859
76000,0.925507,0.965000,0.947520,0.975439,0.819929,0.914697,361.961681,75.800369,437.762051,13447.583984
77000,0.925697,0.940000,0.947630,0.958042,0.820502,0.853067,365.556695,76.834799,442.391494,13478.802734
