# TEST CONFIGURATION BEGIN
# DataStream(n_targets=-1, target_idx=1, cat_features=None, name=None)
# [M0] OzaBaggingADWINClassifier(base_estimator=HoeffdingTreeClassifier(binary_split=False, grace_period=200, leaf_prediction='nba', max_byte_size=33554432, memory_estimate_period=1000000, nb_threshold=0, no_preprune=False, nominal_attributes=None, remove_poor_atts=None, split_confidence=1e-07, split_criterion='info_gain', stop_mem_management=False, tie_threshold=0.05), n_estimators=10, random_state=None)
# EvaluatePrequential(batch_size=1000, data_points_for_classification=False, max_samples=1000000, max_time=inf, metrics=['accuracy', 'f1', 'kappa', 'running_time', 'model_size'], n_wait=200, output_file='/content/drive/My Drive/Colab ' 'Notebooks/Projects/TIS-IEEE-2020/outputs/output_bagwin_m_mc.csv', pretrain_size=2000, restart_stream=True, show_plot=False)
# TEST CONFIGURATION END
id,mean_acc_[M0],current_acc_[M0],mean_f1_[M0],current_f1_[M0],mean_kappa_[M0],current_kappa_[M0],training_time_[M0],testing_time_[M0],total_running_time_[M0],model_size_[M0]
51000,0.606340,0.695000,0.328800,0.281803,0.519175,0.600759,961.813459,324.637377,1286.450835,6016.041016
52000,0.607216,0.605000,0.328247,0.259455,0.519785,0.492695,970.990125,326.332908,1297.323032,6037.322266
53000,0.608538,0.720000,0.328094,0.296987,0.520852,0.623656,984.422324,328.018657,1312.440981,6233.236328
54000,0.610094,0.690000,0.327753,0.277741,0.522108,0.596288,995.396341,329.749285,1325.145625,6295.830078
55000,0.611463,0.665000,0.327527,0.261670,0.523241,0.558106,1006.600531,331.486074,1338.086605,6362.736328
56000,0.612418,0.640000,0.327141,0.265646,0.523957,0.536441,1015.305519,333.254957,1348.560477,6391.080078
57000,0.613321,0.680000,0.326746,0.263237,0.524607,0.578587,1026.581202,335.020557,1361.601759,6404.861328
58000,0.614333,0.670000,0.326614,0.267561,0.525429,0.569640,1037.164472,336.859244,1374.023716,6499.923828
59000,0.614707,0.640000,0.326355,0.287535,0.525607,0.529473,1048.939089,338.734970,1387.674059,6476.376953
60000,0.615475,0.660000,0.327727,0.342419,0.526519,0.580351,1058.578219,341.209202,1399.787421,6486.251953
61000,0.616500,0.690000,0.329451,0.359872,0.527736,0.616194,1067.793199,343.552135,1411.345334,6490.798828
62000,0.617246,0.690000,0.330961,0.336235,0.528628,0.602946,1080.132743,345.860599,1425.993342,6684.017578
63000,0.618290,0.660000,0.332203,0.397129,0.529875,0.581216,1094.127994,348.216844,1442.344839,6682.564453
64000,0.618889,0.630000,0.333602,0.313013,0.530663,0.536254,1114.599714,350.574832,1465.174546,5891.490234
65000,0.618953,0.660000,0.332924,0.341606,0.530806,0.586211,1126.717345,352.512527,1479.229872,6034.818359
66000,0.619046,0.605000,0.332480,0.298367,0.530994,0.513052,1140.809849,355.502440,1496.312290,6107.388672
67000,0.619985,0.665000,0.332760,0.291914,0.531980,0.571282,1154.093208,358.093682,1512.186890,6112.529297
68000,0.620851,0.705000,0.332803,0.322977,0.532831,0.624312,1166.198705,360.695281,1526.893986,6197.404297
69000,0.621706,0.635000,0.332931,0.301419,0.533681,0.543807,1180.539600,363.370033,1543.909632,6249.794922
70000,0.622522,0.670000,0.332938,0.282787,0.534383,0.575002,1191.032450,365.599917,1556.632367,6258.525391
71000,0.623071,0.680000,0.332730,0.276258,0.534831,0.586256,1206.809471,367.799408,1574.608879,6258.619141
72000,0.623338,0.635000,0.332231,0.261073,0.534909,0.535298,1221.133088,370.040078,1591.173165,6263.525391
73000,0.623875,0.630000,0.332201,0.271449,0.535330,0.532001,1235.483847,372.276641,1607.760488,6297.275391
74000,0.624507,0.660000,0.331945,0.269513,0.535838,0.560425,1247.271272,374.356019,1621.627291,6365.009766
75000,0.625054,0.675000,0.331698,0.280299,0.536262,0.580767,1256.071430,376.424667,1632.496098,6457.236328
76000,0.625973,0.730000,0.332278,0.357951,0.537222,0.656390,1277.120859,378.771299,1655.892157,6470.267578
77000,0.626789,0.695000,0.332769,0.321909,0.538032,0.609825,1288.444758,381.120004,1669.564761,6482.705078
78000,0.627494,0.700000,0.333048,0.348144,0.538733,0.617591,1301.791870,383.506653,1685.298523,6612.205078
79000,0.628128,0.680000,0.333345,0.371089,0.539424,0.601482,1313.747019,385.947011,1699.694030,6612.455078
80000,0.628418,0.650000,0.333586,0.341489,0.539735,0.560011,1328.235640,388.395734,1716.631374,6679.736328
81000,0.629075,0.680000,0.333933,0.347486,0.540485,0.599274,1350.126427,390.817265,1740.943692,6726.244141
82000,0.629420,0.690000,0.334218,0.340205,0.540897,0.610381,1370.190360,393.232085,1763.422445,6727.712891
83000,0.629537,0.640000,0.334541,0.344010,0.541139,0.560842,1384.361572,395.648546,1780.010118,6751.525391
84000,0.629542,0.620000,0.334884,0.296925,0.541181,0.535537,1400.481857,398.070665,1798.552522,7071.337891
85000,0.629750,0.655000,0.335283,0.342028,0.541489,0.573758,1417.236623,400.581378,1817.818001,7152.431641
86000,0.629647,0.625000,0.335522,0.331116,0.541462,0.545179,1439.453294,403.037752,1842.491046,7286.517578
87000,0.629965,0.655000,0.335318,0.274568,0.541708,0.559077,1448.449830,405.176718,1853.626548,7302.361328
88000,0.630460,0.635000,0.335107,0.270870,0.542147,0.535091,1458.842922,407.285388,1866.128310,7347.259766
89000,0.631205,0.705000,0.335367,0.314587,0.542952,0.624754,1472.357629,409.504501,1881.862130,7537.025391
90000,0.631461,0.635000,0.335521,0.315005,0.543199,0.551941,1483.956735,412.033326,1895.990061,7565.666016
91000,0.631833,0.700000,0.335705,0.389231,0.543575,0.617066,1502.331748,414.554202,1916.885950,7500.869141
92000,0.632703,0.755000,0.335766,0.337694,0.544436,0.672208,1510.695802,416.970186,1927.665988,7512.775391
93000,0.633283,0.650000,0.335818,0.273534,0.545012,0.545159,1528.730005,419.327839,1948.057844,7802.275391
94000,0.634097,0.695000,0.336091,0.323594,0.545895,0.612514,1538.037918,421.916778,1959.954696,7806.650391
95000,0.634617,0.645000,0.336101,0.285468,0.546422,0.551102,1548.116934,424.447250,1972.564184,7815.119141
96000,0.634979,0.645000,0.336148,0.327616,0.546761,0.547713,1555.780759,427.093177,1982.873936,6562.638672
97000,0.635333,0.660000,0.335739,0.251936,0.546986,0.563739,1565.249186,427.972834,1993.222020,7015.240234
98000,0.635340,0.610000,0.335250,0.240536,0.546820,0.490928,1576.895643,429.119533,2006.015176,7064.537109
99000,0.635510,0.635000,0.334810,0.255543,0.546845,0.533129,1589.876093,430.169169,2020.045262,7269.056641
100000,0.636010,0.720000,0.334678,0.298929,0.547308,0.632498,1596.990513,432.444508,2029.435021,7277.931641
